"Datum","Station","Anzahl","Temperatur"
2017-01-07,31247,12,-5
2017-01-07,31248,5,-5
2017-01-07,31249,3,-5
2017-01-07,31257,1,-5
2017-01-07,31258,11,-5
2017-01-07,31265,14,-5
2017-01-07,31266,24,-5
2017-01-07,31267,16,-5
2017-01-07,31271,6,-5
2017-01-07,31272,4,-5
2017-01-07,31277,5,-5
2017-01-07,31278,19,-5
2017-01-07,31281,26,-5
2017-01-07,31288,8,-5
2017-01-07,31289,4,-5
2017-01-07,31290,6,-5
2017-01-07,31600,34,-5
2017-01-07,31603,28,-5
2017-01-07,31613,5,-5
2017-01-07,31616,13,-5
2017-01-07,31623,27,-5
2017-01-07,31624,4,-5
2017-01-07,31627,13,-5
2017-01-07,31628,15,-5
2017-01-08,31101,30,-7.77777777777778
2017-01-08,31104,11,-7.77777777777778
2017-01-08,31108,10,-7.77777777777778
2017-01-08,31109,25,-7.77777777777778
2017-01-08,31110,19,-7.77777777777778
2017-01-08,31124,20,-7.77777777777778
2017-01-08,31200,34,-7.77777777777778
2017-01-08,31201,49,-7.77777777777778
2017-01-08,31202,23,-7.77777777777778
2017-01-08,31203,27,-7.77777777777778
2017-01-08,31212,10,-7.77777777777778
2017-01-08,31213,6,-7.77777777777778
2017-01-08,31214,36,-7.77777777777778
2017-01-08,31218,5,-7.77777777777778
2017-01-08,31219,4,-7.77777777777778
2017-01-08,31222,11,-7.77777777777778
2017-01-08,31228,20,-7.77777777777778
2017-01-08,31229,38,-7.77777777777778
2017-01-08,31230,6,-7.77777777777778
2017-01-08,31231,4,-7.77777777777778
2017-01-08,31232,11,-7.77777777777778
2017-01-08,31238,2,-7.77777777777778
2017-01-08,31241,19,-7.77777777777778
2017-01-08,31243,5,-7.77777777777778
2017-01-08,31244,1,-7.77777777777778
2017-01-08,31246,17,-7.77777777777778
2017-01-08,31247,2,-7.77777777777778
2017-01-08,31248,3,-7.77777777777778
2017-01-08,31249,4,-7.77777777777778
2017-01-08,31257,10,-7.77777777777778
2017-01-08,31258,4,-7.77777777777778
2017-01-08,31265,10,-7.77777777777778
2017-01-08,31266,27,-7.77777777777778
2017-01-08,31267,8,-7.77777777777778
2017-01-08,31271,1,-7.77777777777778
2017-01-08,31272,6,-7.77777777777778
2017-01-08,31277,8,-7.77777777777778
2017-01-08,31278,15,-7.77777777777778
2017-01-08,31281,28,-7.77777777777778
2017-01-08,31288,10,-7.77777777777778
2017-01-08,31289,3,-7.77777777777778
2017-01-08,31290,1,-7.77777777777778
2017-01-08,31600,14,-7.77777777777778
2017-01-08,31603,17,-7.77777777777778
2017-01-08,31613,21,-7.77777777777778
2017-01-08,31616,22,-7.77777777777778
2017-01-08,31623,21,-7.77777777777778
2017-01-08,31624,8,-7.77777777777778
2017-01-08,31627,5,-7.77777777777778
2017-01-08,31628,15,-7.77777777777778
2017-01-09,31101,44,-7.77777777777778
2017-01-09,31104,33,-7.77777777777778
2017-01-09,31108,22,-7.77777777777778
2017-01-09,31109,33,-7.77777777777778
2017-01-09,31110,39,-7.77777777777778
2017-01-09,31124,47,-7.77777777777778
2017-01-09,31200,61,-7.77777777777778
2017-01-09,31201,62,-7.77777777777778
2017-01-09,31202,34,-7.77777777777778
2017-01-09,31203,31,-7.77777777777778
2017-01-09,31212,34,-7.77777777777778
2017-01-09,31213,30,-7.77777777777778
2017-01-09,31214,42,-7.77777777777778
2017-01-09,31218,38,-7.77777777777778
2017-01-09,31219,18,-7.77777777777778
2017-01-09,31222,26,-7.77777777777778
2017-01-09,31228,35,-7.77777777777778
2017-01-09,31229,49,-7.77777777777778
2017-01-09,31230,34,-7.77777777777778
2017-01-09,31231,28,-7.77777777777778
2017-01-09,31232,27,-7.77777777777778
2017-01-09,31238,32,-7.77777777777778
2017-01-09,31241,81,-7.77777777777778
2017-01-09,31243,18,-7.77777777777778
2017-01-09,31244,33,-7.77777777777778
2017-01-09,31246,26,-7.77777777777778
2017-01-09,31247,19,-7.77777777777778
2017-01-09,31248,8,-7.77777777777778
2017-01-09,31249,19,-7.77777777777778
2017-01-09,31257,28,-7.77777777777778
2017-01-09,31258,11,-7.77777777777778
2017-01-09,31265,37,-7.77777777777778
2017-01-09,31266,36,-7.77777777777778
2017-01-09,31267,27,-7.77777777777778
2017-01-09,31271,21,-7.77777777777778
2017-01-09,31272,23,-7.77777777777778
2017-01-09,31277,24,-7.77777777777778
2017-01-09,31278,39,-7.77777777777778
2017-01-09,31281,44,-7.77777777777778
2017-01-09,31288,12,-7.77777777777778
2017-01-09,31289,6,-7.77777777777778
2017-01-09,31290,2,-7.77777777777778
2017-01-09,31600,46,-7.77777777777778
2017-01-09,31603,47,-7.77777777777778
2017-01-09,31613,49,-7.77777777777778
2017-01-09,31616,34,-7.77777777777778
2017-01-09,31623,142,-7.77777777777778
2017-01-09,31624,53,-7.77777777777778
2017-01-09,31627,26,-7.77777777777778
2017-01-09,31628,27,-7.77777777777778
2017-01-10,31101,66,-4.44444444444444
2017-01-10,31104,49,-4.44444444444444
2017-01-10,31108,33,-4.44444444444444
2017-01-10,31109,44,-4.44444444444444
2017-01-10,31110,40,-4.44444444444444
2017-01-10,31124,42,-4.44444444444444
2017-01-10,31200,72,-4.44444444444444
2017-01-10,31201,53,-4.44444444444444
2017-01-10,31202,44,-4.44444444444444
2017-01-10,31203,47,-4.44444444444444
2017-01-10,31212,55,-4.44444444444444
2017-01-10,31213,47,-4.44444444444444
2017-01-10,31214,57,-4.44444444444444
2017-01-10,31218,35,-4.44444444444444
2017-01-10,31219,18,-4.44444444444444
2017-01-10,31222,36,-4.44444444444444
2017-01-10,31228,37,-4.44444444444444
2017-01-10,31229,77,-4.44444444444444
2017-01-10,31230,39,-4.44444444444444
2017-01-10,31231,36,-4.44444444444444
2017-01-10,31232,34,-4.44444444444444
2017-01-10,31238,41,-4.44444444444444
2017-01-10,31241,84,-4.44444444444444
2017-01-10,31243,26,-4.44444444444444
2017-01-10,31244,38,-4.44444444444444
2017-01-10,31246,24,-4.44444444444444
2017-01-10,31247,27,-4.44444444444444
2017-01-10,31248,21,-4.44444444444444
2017-01-10,31249,23,-4.44444444444444
2017-01-10,31257,33,-4.44444444444444
2017-01-10,31258,8,-4.44444444444444
2017-01-10,31265,37,-4.44444444444444
2017-01-10,31266,47,-4.44444444444444
2017-01-10,31267,37,-4.44444444444444
2017-01-10,31271,29,-4.44444444444444
2017-01-10,31272,23,-4.44444444444444
2017-01-10,31277,24,-4.44444444444444
2017-01-10,31278,49,-4.44444444444444
2017-01-10,31281,47,-4.44444444444444
2017-01-10,31288,16,-4.44444444444444
2017-01-10,31289,5,-4.44444444444444
2017-01-10,31290,4,-4.44444444444444
2017-01-10,31600,56,-4.44444444444444
2017-01-10,31603,61,-4.44444444444444
2017-01-10,31613,49,-4.44444444444444
2017-01-10,31616,39,-4.44444444444444
2017-01-10,31623,173,-4.44444444444444
2017-01-10,31624,50,-4.44444444444444
2017-01-10,31627,31,-4.44444444444444
2017-01-10,31628,34,-4.44444444444444
2017-01-11,31101,66,6.11111111111111
2017-01-11,31104,53,6.11111111111111
2017-01-11,31108,60,6.11111111111111
2017-01-11,31109,50,6.11111111111111
2017-01-11,31110,57,6.11111111111111
2017-01-11,31124,42,6.11111111111111
2017-01-11,31200,113,6.11111111111111
2017-01-11,31201,87,6.11111111111111
2017-01-11,31202,50,6.11111111111111
2017-01-11,31203,52,6.11111111111111
2017-01-11,31212,52,6.11111111111111
2017-01-11,31213,64,6.11111111111111
2017-01-11,31214,48,6.11111111111111
2017-01-11,31218,46,6.11111111111111
2017-01-11,31219,33,6.11111111111111
2017-01-11,31222,43,6.11111111111111
2017-01-11,31228,55,6.11111111111111
2017-01-11,31229,69,6.11111111111111
2017-01-11,31230,52,6.11111111111111
2017-01-11,31231,55,6.11111111111111
2017-01-11,31232,43,6.11111111111111
2017-01-11,31238,47,6.11111111111111
2017-01-11,31241,110,6.11111111111111
2017-01-11,31243,31,6.11111111111111
2017-01-11,31244,50,6.11111111111111
2017-01-11,31246,28,6.11111111111111
2017-01-11,31247,59,6.11111111111111
2017-01-11,31248,32,6.11111111111111
2017-01-11,31249,43,6.11111111111111
2017-01-11,31257,37,6.11111111111111
2017-01-11,31258,62,6.11111111111111
2017-01-11,31265,68,6.11111111111111
2017-01-11,31266,45,6.11111111111111
2017-01-11,31267,63,6.11111111111111
2017-01-11,31271,35,6.11111111111111
2017-01-11,31272,37,6.11111111111111
2017-01-11,31277,34,6.11111111111111
2017-01-11,31278,39,6.11111111111111
2017-01-11,31281,54,6.11111111111111
2017-01-11,31288,31,6.11111111111111
2017-01-11,31289,31,6.11111111111111
2017-01-11,31290,11,6.11111111111111
2017-01-11,31600,69,6.11111111111111
2017-01-11,31603,75,6.11111111111111
2017-01-11,31613,59,6.11111111111111
2017-01-11,31616,40,6.11111111111111
2017-01-11,31623,221,6.11111111111111
2017-01-11,31624,79,6.11111111111111
2017-01-11,31627,48,6.11111111111111
2017-01-11,31628,48,6.11111111111111
2017-01-12,31101,89,13.3333333333333
2017-01-12,31104,59,13.3333333333333
